data_type,group_id,k,n,N
germplasm,GP01,0,200,
germplasm,GP03,0,50,
germplasm,GP05,0,78,
germplasm,GP13,0,246,
germplasm,GP08,0,50,
germplasm,GP08,0,50,
germplasm,GP12,0,100,
germplasm,GP13,0,65,
germplasm,GP11,1,680,
germplasm,GP01,5,840,
germplasm,GP08,0,105,
germplasm,GP08,0,82,
germplasm,GP03,0,210,
germplasm,GP03,0,315,
germplasm,GP03,3,210,
germplasm,GP08,32,525,
germplasm,GP13,4,105,
germplasm,GP05,0,50,
germplasm,GP08,2,100,
germplasm,GP08,0,100,
germplasm,GP12,1,100,
germplasm,GP03,0,40,
germplasm,GP03,5,100,
germplasm,GP03,9,98,
germplasm,GP13,2,77,
germplasm,GP03,0,150,
germplasm,GP05,0,75,
germplasm,GP08,0,50,
germplasm,GP12,0,100,
germplasm,GP12,0,100,
germplasm,GP13,0,25,
germplasm,GP11,1,440,
germplasm,GP12,0,50,
germplasm,GP05,1,31,
germplasm,GP13,0,50,
germplasm,GP01,0,50,
germplasm,GP13,0,50,
germplasm,GP13,0,50,
germplasm,GP01,0,50,
germplasm,GP11,9,360,
germplasm,GP11,1,169,
germplasm,GP06,1,850,
germplasm,GP06,0,60,
germplasm,GP06,0,55,
germplasm,GP12,3,400,
germplasm,GP01,0,34,
germplasm,GP03,0,25,
germplasm,GP12,0,60,
germplasm,GP13,0,100,
germplasm,GP06,0,25,
germplasm,GP06,0,175,
germplasm,GP06,0,48,
germplasm,GP06,0,244,
germplasm,GP06,0,44,
germplasm,GP12,0,50,
germplasm,GP13,0,37,
germplasm,GP13,1,50,
germplasm,GP13,0,50,
germplasm,GP01,0,50,
germplasm,GP01,0,50,
germplasm,GP11,0,114,
germplasm,GP03,0,50,
germplasm,GP08,0,50,
germplasm,GP03,0,100,
germplasm,GP12,0,100,
germplasm,GP12,2,50,
germplasm,GP13,0,50,
germplasm,GP13,0,50,
germplasm,GP13,1,50,
germplasm,GP03,4,100,
germplasm,GP05,2,67,
germplasm,GP12,20,100,
germplasm,GP13,1,100,
germplasm,GP13,5,100,
germplasm,GP08,0,24,
germplasm,GP12,0,100,
germplasm,GP01,3,157,
germplasm,GP03,3,105,
germplasm,GP03,6,110,
germplasm,GP08,0,105,
germplasm,GP03,0,315,
germplasm,GP08,3,128,
germplasm,GP08,3,105,
germplasm,GP08,0,52,
germplasm,GP13,0,45,
germplasm,GP13,0,105,
germplasm,GP13,3,210,
germplasm,GP03,1,52,
germplasm,GP03,1,52,
germplasm,GP13,0,26,
germplasm,GP13,3,70,
germplasm,GP11,1,200,
germplasm,GP06,0,68,
germplasm,GP03,1,157,
germplasm,GP03,4,277,
germplasm,GP03,1,26,
germplasm,GP12,2,41,
germplasm,GP03,1,33,
germplasm,GP03,1,100,
germplasm,GP06,0,350,
germplasm,GP06,0,50,
germplasm,GP12,8,165,
germplasm,GP09,0,100,
germplasm,GP11,7,860,
germplasm,GP01,0,51,
germplasm,GP08,0,136,
germplasm,GP13,0,50,
germplasm,GP01,0,50,
germplasm,GP01,0,50,
germplasm,GP08,1,50,
germplasm,GP08,0,100,
germplasm,GP13,0,50,
germplasm,GP13,0,50,
germplasm,GP13,0,50,
germplasm,GP06,0,75,
germplasm,GP06,0,210,
germplasm,GP03,1,700,
germplasm,GP03,11,420,
germplasm,GP03,2,150,
germplasm,GP03,13,420,
germplasm,GP05,1,210,
germplasm,GP13,4,105,
germplasm,GP11,0,280,
germplasm,GP09,0,100,
germplasm,GP09,0,50,
germplasm,GP05,2,100,
germplasm,GP01,1,90,
germplasm,GP01,67,121,
germplasm,GP13,0,100,
germplasm,GP01,0,54,
germplasm,GP01,1,53,
germplasm,GP03,6,37,
germplasm,GP03,13,36,
germplasm,GP03,2,42,
germplasm,GP03,15,79,
germplasm,GP12,3,252,
germplasm,GP03,3,90,
germplasm,GP08,21,330,
germplasm,GP08,0,80,
germplasm,GP01,1,210,
germplasm,GP13,3,151,
germplasm,GP11,1,900,
